rank,skill_id,name,domain,path,rank_score,priority_tier,owner,status,quality_score,passing,scripts,references
20,engineering-team.skills.azure-cloud-architect,azure-cloud-architect,engineering-team,engineering-team/skills/azure-cloud-architect,125,critical,Claude App,baseline,86,true,3,3
21,engineering-team.skills.gcp-cloud-architect,gcp-cloud-architect,engineering-team,engineering-team/skills/gcp-cloud-architect,125,critical,Claude App,baseline,86,true,3,3
22,engineering-team.skills.security-pen-testing,security-pen-testing,engineering-team,engineering-team/skills/security-pen-testing,125,critical,Claude App,baseline,66,false,3,3
23,engineering-team.skills.senior-secops,senior-secops,engineering-team,engineering-team/skills/senior-secops,125,critical,Claude App,baseline,86,true,3,3
24,engineering.karpathy-coder.skills.karpathy-coder,karpathy-coder,engineering,engineering/karpathy-coder/skills/karpathy-coder,125,critical,Claude App,baseline,86,true,4,7
25,engineering.kubernetes-operator.skills.kubernetes-operator,kubernetes-operator,engineering,engineering/kubernetes-operator/skills/kubernetes-operator,125,critical,Claude App,baseline,86,true,3,6
26,engineering.skills.kubernetes-operator,kubernetes-operator,engineering,engineering/skills/kubernetes-operator,125,critical,Claude App,baseline,86,true,3,6
27,engineering-team.skills.senior-architect,senior-architect,engineering-team,engineering-team/skills/senior-architect,124,critical,Claude App,baseline,86,true,3,3
28,engineering-team.skills.senior-frontend,senior-frontend,engineering-team,engineering-team/skills/senior-frontend,124,critical,Claude App,baseline,86,true,3,3
29,engineering-team.skills.senior-prompt-engineer,senior-prompt-engineer,engineering-team,engineering-team/skills/senior-prompt-engineer,124,critical,Claude App,baseline,86,true,3,3
30,engineering.chaos-engineering.skills.chaos-engineering,chaos-engineering,engineering,engineering/chaos-engineering/skills/chaos-engineering,124,critical,Claude App,baseline,86,true,3,6
31,engineering.skills.chaos-engineering,chaos-engineering,engineering,engineering/skills/chaos-engineering,124,critical,Claude App,baseline,86,true,3,6
32,engineering.skills.slo-architect,slo-architect,engineering,engineering/skills/slo-architect,124,critical,Claude App,baseline,86,true,3,6
33,engineering.slo-architect.skills.slo-architect,slo-architect,engineering,engineering/slo-architect/skills/slo-architect,124,critical,Claude App,baseline,86,true,3,6
34,engineering-team.skills.senior-backend,senior-backend,engineering-team,engineering-team/skills/senior-backend,123,critical,Claude App,baseline,86,true,3,3
35,engineering-team.skills.senior-data-engineer,senior-data-engineer,engineering-team,engineering-team/skills/senior-data-engineer,123,critical,Claude App,baseline,86,true,3,5
36,engineering-team.skills.senior-devops,senior-devops,engineering-team,engineering-team/skills/senior-devops,123,critical,Claude App,baseline,86,true,3,3
37,marketing-skill.skills.app-store-optimization,app-store-optimization,marketing-skill,marketing-skill/skills/app-store-optimization,123,critical,Claude App,baseline,86,true,8,4
38,engineering-team.skills.ms365-tenant-manager,ms365-tenant-manager,engineering-team,engineering-team/skills/ms365-tenant-manager,122,critical,Claude App,baseline,86,true,3,3
39,engineering-team.skills.senior-data-scientist,senior-data-scientist,engineering-team,engineering-team/skills/senior-data-scientist,122,critical,Claude App,baseline,86,true,3,3
40,engineering-team.skills.senior-ml-engineer,senior-ml-engineer,engineering-team,engineering-team/skills/senior-ml-engineer,122,critical,Claude App,baseline,86,true,3,3
41,engineering-team.skills.senior-security,senior-security,engineering-team,engineering-team/skills/senior-security,122,critical,Claude App,baseline,86,true,2,3
42,engineering.agenthub.skills.agenthub,agenthub,engineering,engineering/agenthub/skills/agenthub,122,critical,Claude App,baseline,86,true,6,3
43,engineering.feature-flags-architect.skills.feature-flags-architect,feature-flags-architect,engineering,engineering/feature-flags-architect/skills/feature-flags-architect,122,critical,Claude App,baseline,86,true,3,5
44,engineering.skills.feature-flags-architect,feature-flags-architect,engineering,engineering/skills/feature-flags-architect,122,critical,Claude App,baseline,86,true,3,5
45,engineering.skills.skill-tester.assets.sample-skill,sample-skill,engineering,engineering/skills/skill-tester/assets/sample-skill,122,critical,Claude App,baseline,61,false,1,7
46,engineering.skills.interview-system-designer,interview-system-designer,engineering,engineering/skills/interview-system-designer,121,critical,Claude App,baseline,86,true,1,10
47,engineering-team.playwright-pro.skills.pw,playwright-pro,engineering-team,engineering-team/playwright-pro/skills/pw,120,critical,Claude App,baseline,100,true,0,56
48,engineering.skills.browser-automation,browser-automation,engineering,engineering/skills/browser-automation,120,critical,Claude App,baseline,86,true,3,3
49,engineering.skills.secrets-vault-manager,secrets-vault-manager,engineering,engineering/skills/secrets-vault-manager,120,critical,Claude App,baseline,86,true,3,3
50,engineering.skills.spec-driven-workflow,spec-driven-workflow,engineering,engineering/skills/spec-driven-workflow,120,critical,Claude App,baseline,86,true,3,3
51,engineering.skills.sql-database-assistant,sql-database-assistant,engineering,engineering/skills/sql-database-assistant,120,high,Claude App,baseline,86,true,3,3
52,engineering-team.snowflake-development.skills.snowflake-development,snowflake-development,engineering-team,engineering-team/snowflake-development/skills/snowflake-development,119,high,Claude App,baseline,86,true,1,3
53,engineering.skills.mcp-server-builder,mcp-server-builder,engineering,engineering/skills/mcp-server-builder,119,high,Claude App,baseline,86,true,2,4
54,engineering-team.skills.code-reviewer,code-reviewer,engineering-team,engineering-team/skills/code-reviewer,118,high,Claude App,baseline,86,true,3,3
55,engineering-team.skills.senior-fullstack,senior-fullstack,engineering-team,engineering-team/skills/senior-fullstack,118,high,Claude App,baseline,86,true,2,3
56,engineering.autoresearch-agent.skills.autoresearch-agent,autoresearch-agent,engineering,engineering/autoresearch-agent/skills/autoresearch-agent,118,high,Claude App,baseline,86,true,3,2
57,engineering.skills.api-design-reviewer,api-design-reviewer,engineering,engineering/skills/api-design-reviewer,117,high,Claude App,baseline,86,true,3,2
58,engineering.skills.changelog-generator,changelog-generator,engineering,engineering/skills/changelog-generator,117,high,Claude App,baseline,86,true,2,3
59,engineering.skills.ci-cd-pipeline-builder,ci-cd-pipeline-builder,engineering,engineering/skills/ci-cd-pipeline-builder,116,high,Claude App,baseline,86,true,2,3
60,engineering.skills.git-worktree-manager,git-worktree-manager,engineering,engineering/skills/git-worktree-manager,116,high,Claude App,baseline,86,true,2,2
61,product-team.code-to-prd.skills.code-to-prd,code-to-prd,product-team,product-team/code-to-prd/skills/code-to-prd,116,high,Claude App,baseline,66,false,2,6
62,engineering-team.skills.ai-security,ai-security,engineering-team,engineering-team/skills/ai-security,115,high,Claude App,baseline,86,true,1,1
63,engineering-team.skills.cloud-security,cloud-security,engineering-team,engineering-team/skills/cloud-security,115,high,Claude App,baseline,86,true,1,1
64,engineering-team.skills.incident-response,incident-response,engineering-team,engineering-team/skills/incident-response,115,high,Claude App,baseline,86,true,1,1
65,engineering-team.skills.red-team,red-team,engineering-team,engineering-team/skills/red-team,115,high,Claude App,baseline,86,true,1,1
66,engineering-team.skills.threat-detection,threat-detection,engineering-team,engineering-team/skills/threat-detection,115,high,Claude App,baseline,86,true,1,1
67,engineering.helm-chart-builder.skills.helm-chart-builder,helm-chart-builder,engineering,engineering/helm-chart-builder/skills/helm-chart-builder,115,high,Claude App,baseline,86,true,2,2
68,engineering.terraform-patterns.skills.terraform-patterns,terraform-patterns,engineering,engineering/terraform-patterns/skills/terraform-patterns,115,high,Claude App,baseline,86,true,2,2
69,marketing-skill.skills.campaign-analytics,campaign-analytics,marketing-skill,marketing-skill/skills/campaign-analytics,115,high,Claude App,baseline,86,true,3,8
70,engineering.docker-development.skills.docker-development,docker-development,engineering,engineering/docker-development/skills/docker-development,114,high,Claude App,baseline,86,true,2,2
71,engineering.statistical-analyst.skills.statistical-analyst,statistical-analyst,engineering,engineering/statistical-analyst/skills/statistical-analyst,114,high,Claude App,baseline,86,true,3,1
72,marketing-skill.skills.content-production,content-production,marketing-skill,marketing-skill/skills/content-production,114,high,Claude App,baseline,86,true,4,5
73,engineering.data-quality-auditor.skills.data-quality-auditor,data-quality-auditor,engineering,engineering/data-quality-auditor/skills/data-quality-auditor,113,high,Claude App,baseline,86,true,3,1
74,product-team.skills.product-manager-toolkit,product-manager-toolkit,product-team,product-team/skills/product-manager-toolkit,112,high,Claude App,baseline,86,true,2,5
75,engineering.skills.rag-architect,rag-architect,engineering,engineering/skills/rag-architect,111,high,Claude App,baseline,100,true,0,3
76,engineering-team.skills.email-template-builder,email-template-builder,engineering-team,engineering-team/skills/email-template-builder,110,high,Claude App,baseline,100,true,0,0
77,engineering-team.skills.stripe-integration-expert,stripe-integration-expert,engineering-team,engineering-team/skills/stripe-integration-expert,110,high,Claude App,baseline,100,true,0,0
78,engineering.skills.env-secrets-manager,env-secrets-manager,engineering,engineering/skills/env-secrets-manager,110,high,Claude App,baseline,86,true,1,2
79,marketing-skill.skills.paid-ads,paid-ads,marketing-skill,marketing-skill/skills/paid-ads,110,high,Claude App,baseline,66,false,2,5
80,product-team.skills.ux-researcher-designer,ux-researcher-designer,product-team,product-team/skills/ux-researcher-designer,110,high,Claude App,baseline,86,true,1,5
81,engineering-team.skills.adversarial-reviewer,adversarial-reviewer,engineering-team,engineering-team/skills/adversarial-reviewer,109,high,Claude App,baseline,100,true,0,0
82,product-team.agile-product-owner.skills.agile-product-owner,agile-product-owner,product-team,product-team/agile-product-owner/skills/agile-product-owner,109,high,Claude App,baseline,86,true,1,4
83,product-team.skills.ui-design-system,ui-design-system,product-team,product-team/skills/ui-design-system,109,high,Claude App,baseline,86,true,1,5
84,marketing-skill.skills.x-twitter-growth,x-twitter-growth,marketing-skill,marketing-skill/skills/x-twitter-growth,108,high,Claude App,baseline,86,true,5,1
85,engineering.skills.ship-gate,ship-gate,engineering,engineering/skills/ship-gate,107,high,Claude App,baseline,86,true,1,2
86,product-team.skills.landing-page-generator,landing-page-generator,product-team,product-team/skills/landing-page-generator,107,high,Claude App,baseline,86,true,1,4
87,product-team.skills.saas-scaffolder,saas-scaffolder,product-team,product-team/skills/saas-scaffolder,107,high,Claude App,baseline,86,true,1,4
88,engineering.skills.skill-security-auditor,skill-security-auditor,engineering,engineering/skills/skill-security-auditor,106,high,Claude App,baseline,86,true,1,1
89,marketing-skill.skills.prompt-engineer-toolkit,prompt-engineer-toolkit,marketing-skill,marketing-skill/skills/prompt-engineer-toolkit,106,high,Claude App,baseline,86,true,2,3
90,engineering-team.self-improving-agent.skills.self-improving-agent,self-improving-agent,engineering-team,engineering-team/self-improving-agent/skills/self-improving-agent,105,high,Claude App,baseline,80,false,0,0
91,engineering.skills.focused-fix,focused-fix,engineering,engineering/skills/focused-fix,105,high,Claude App,baseline,100,true,0,0
92,engineering.skills.monorepo-navigator,monorepo-navigator,engineering,engineering/skills/monorepo-navigator,105,high,Claude App,baseline,86,true,1,2
93,product-team.research-summarizer.skills.research-summarizer,research-summarizer,product-team,product-team/research-summarizer/skills/research-summarizer,105,high,Claude App,baseline,86,true,2,2
94,product-team.skills.competitive-teardown,competitive-teardown,product-team,product-team/skills/competitive-teardown,105,high,Claude App,baseline,86,true,1,4
95,product-team.skills.product-strategist,product-strategist,product-team,product-team/skills/product-strategist,105,high,Claude App,baseline,86,true,1,4
96,project-management.skills.senior-pm,senior-pm,project-management,project-management/skills/senior-pm,105,high,Claude App,baseline,86,true,3,8
97,engineering-team.self-improving-agent.skills.extract,extract,engineering-team,engineering-team/self-improving-agent/skills/extract,104,high,Claude App,baseline,100,true,0,0
98,engineering.llm-cost-optimizer.skills.llm-cost-optimizer,llm-cost-optimizer,engineering,engineering/llm-cost-optimizer/skills/llm-cost-optimizer,104,high,Claude App,baseline,100,true,0,0
99,engineering.prompt-governance.skills.prompt-governance,prompt-governance,engineering,engineering/prompt-governance/skills/prompt-governance,104,high,Claude App,baseline,100,true,0,0
100,engineering.skills.command-guide,command-guide,engineering,engineering/skills/command-guide,104,high,Claude App,baseline,100,true,0,0
101,engineering.skills.performance-profiler,performance-profiler,engineering,engineering/skills/performance-profiler,104,standard,Claude App,baseline,86,true,1,1
102,engineering.skills.pr-review-expert,pr-review-expert,engineering,engineering/skills/pr-review-expert,104,standard,Claude App,baseline,100,true,0,0
103,marketing-skill.skills.copy-editing,copy-editing,marketing-skill,marketing-skill/skills/copy-editing,104,standard,Claude App,baseline,86,true,2,2
104,engineering-team.playwright-pro.skills.browserstack,browserstack,engineering-team,engineering-team/playwright-pro/skills/browserstack,103,standard,Claude App,baseline,100,true,0,0
105,engineering-team.playwright-pro.skills.generate,generate,engineering-team,engineering-team/playwright-pro/skills/generate,103,standard,Claude App,baseline,100,true,0,0
106,engineering-team.playwright-pro.skills.init,init,engineering-team,engineering-team/playwright-pro/skills/init,103,standard,Claude App,baseline,100,true,0,0
107,engineering-team.playwright-pro.skills.migrate,migrate,engineering-team,engineering-team/playwright-pro/skills/migrate,103,standard,Claude App,baseline,100,true,0,0
108,engineering-team.self-improving-agent.skills.promote,promote,engineering-team,engineering-team/self-improving-agent/skills/promote,103,standard,Claude App,baseline,100,true,0,0
109,engineering-team.self-improving-agent.skills.review,review,engineering-team,engineering-team/self-improving-agent/skills/review,103,standard,Claude App,baseline,100,true,0,0
110,engineering.behuman.skills.behuman,behuman,engineering,engineering/behuman/skills/behuman,103,standard,Claude App,baseline,100,true,0,1
111,engineering.skills.codebase-onboarding,codebase-onboarding,engineering,engineering/skills/codebase-onboarding,103,standard,Claude App,baseline,86,true,1,2
112,engineering.skills.database-schema-designer,database-schema-designer,engineering,engineering/skills/database-schema-designer,103,standard,Claude App,baseline,100,true,0,1
113,marketing-skill.skills.analytics-tracking,analytics-tracking,marketing-skill,marketing-skill/skills/analytics-tracking,103,standard,Claude App,baseline,86,true,1,3
114,marketing-skill.skills.cold-email,cold-email,marketing-skill,marketing-skill/skills/cold-email,103,standard,Claude App,baseline,86,true,1,3
115,marketing-skill.skills.marketing-demand-acquisition,marketing-demand-acquisition,marketing-skill,marketing-skill/skills/marketing-demand-acquisition,103,standard,Claude App,baseline,86,true,1,4
116,marketing-skill.skills.seo-audit,seo-audit,marketing-skill,marketing-skill/skills/seo-audit,103,standard,Claude App,baseline,86,true,2,4
117,marketing-skill.skills.social-media-analyzer,social-media-analyzer,marketing-skill,marketing-skill/skills/social-media-analyzer,103,standard,Claude App,baseline,86,true,2,3
118,product-team.skills.spec-to-repo,spec-to-repo,product-team,product-team/skills/spec-to-repo,103,standard,Claude App,baseline,86,true,1,2
119,project-management.skills.scrum-master,scrum-master,project-management,project-management/skills/scrum-master,103,standard,Claude App,baseline,86,true,3,8
120,engineering-team.playwright-pro.skills.coverage,coverage,engineering-team,engineering-team/playwright-pro/skills/coverage,102,standard,Claude App,baseline,100,true,0,0
121,engineering-team.playwright-pro.skills.fix,fix,engineering-team,engineering-team/playwright-pro/skills/fix,102,standard,Claude App,baseline,100,true,0,0
122,engineering-team.playwright-pro.skills.report,report,engineering-team,engineering-team/playwright-pro/skills/report,102,standard,Claude App,baseline,100,true,0,0
123,engineering-team.playwright-pro.skills.review,review,engineering-team,engineering-team/playwright-pro/skills/review,102,standard,Claude App,baseline,100,true,0,0
124,engineering-team.playwright-pro.skills.testrail,testrail,engineering-team,engineering-team/playwright-pro/skills/testrail,102,standard,Claude App,baseline,100,true,0,0
125,engineering-team.self-improving-agent.skills.remember,remember,engineering-team,engineering-team/self-improving-agent/skills/remember,102,standard,Claude App,baseline,100,true,0,0
126,engineering-team.self-improving-agent.skills.status,status,engineering-team,engineering-team/self-improving-agent/skills/status,102,standard,Claude App,baseline,100,true,0,0
127,engineering-team.skills.engineering-skills,engineering-skills,engineering-team,engineering-team/skills/engineering-skills,102,standard,Claude App,baseline,100,true,0,0
128,engineering.skills.api-test-suite-builder,api-test-suite-builder,engineering,engineering/skills/api-test-suite-builder,102,standard,Claude App,baseline,100,true,0,1
129,engineering.skills.self-eval,self-eval,engineering,engineering/skills/self-eval,102,standard,Claude App,baseline,100,true,0,0
130,marketing-skill.skills.marketing-strategy-pmm,marketing-strategy-pmm,marketing-skill,marketing-skill/skills/marketing-strategy-pmm,102,standard,Claude App,baseline,100,true,0,4
131,product-team.apple-hig-expert.skills.apple-hig-expert,apple-hig-expert,product-team,product-team/apple-hig-expert/skills/apple-hig-expert,102,standard,Claude App,baseline,86,true,1,4
132,engineering.demo-video.skills.demo-video,demo-video,engineering,engineering/demo-video/skills/demo-video,101,standard,Claude App,baseline,100,true,0,1
133,engineering.skills.agent-workflow-designer,agent-workflow-designer,engineering,engineering/skills/agent-workflow-designer,101,standard,Claude App,baseline,86,true,1,1
134,engineering.skills.runbook-generator,runbook-generator,engineering,engineering/skills/runbook-generator,101,standard,Claude App,baseline,86,true,1,1
135,marketing-skill.skills.content-humanizer,content-humanizer,marketing-skill,marketing-skill/skills/content-humanizer,101,standard,Claude App,baseline,86,true,1,2
136,marketing-skill.skills.free-tool-strategy,free-tool-strategy,marketing-skill,marketing-skill/skills/free-tool-strategy,101,standard,Claude App,baseline,86,true,1,2
137,marketing-skill.skills.pricing-strategy,pricing-strategy,marketing-skill,marketing-skill/skills/pricing-strategy,101,standard,Claude App,baseline,86,true,1,2
138,marketing-skill.skills.referral-program,referral-program,marketing-skill,marketing-skill/skills/referral-program,101,standard,Claude App,baseline,86,true,1,2
139,marketing-skill.skills.site-architecture,site-architecture,marketing-skill,marketing-skill/skills/site-architecture,101,standard,Claude App,baseline,86,true,1,2
140,ra-qm-team.skills.fda-consultant-specialist,fda-consultant-specialist,ra-qm-team,ra-qm-team/skills/fda-consultant-specialist,101,standard,Claude App,baseline,86,true,3,5
141,engineering.code-tour.skills.code-tour,code-tour,engineering,engineering/code-tour/skills/code-tour,100,standard,Claude App,baseline,100,true,0,0
142,marketing-skill.skills.ad-creative,ad-creative,marketing-skill,marketing-skill/skills/ad-creative,100,standard,Claude App,baseline,86,true,1,2
143,marketing-skill.skills.ai-seo,ai-seo,marketing-skill,marketing-skill/skills/ai-seo,100,standard,Claude App,baseline,100,true,0,3
144,marketing-skill.skills.churn-prevention,churn-prevention,marketing-skill,marketing-skill/skills/churn-prevention,100,standard,Claude App,baseline,86,true,1,2
145,marketing-skill.skills.schema-markup,schema-markup,marketing-skill,marketing-skill/skills/schema-markup,100,standard,Claude App,baseline,86,true,1,2
146,c-level-advisor.skills.cfo-advisor,cfo-advisor,c-level-advisor,c-level-advisor/skills/cfo-advisor,99,standard,Claude App,baseline,86,true,3,3
147,c-level-advisor.skills.cto-advisor,cto-advisor,c-level-advisor,c-level-advisor/skills/cto-advisor,99,standard,Claude App,baseline,86,true,2,3
148,engineering.skills.full-page-screenshot,full-page-screenshot,engineering,engineering/skills/full-page-screenshot,99,standard,Claude App,baseline,100,true,0,0
149,marketing-skill.skills.competitor-alternatives,competitor-alternatives,marketing-skill,marketing-skill/skills/competitor-alternatives,99,standard,Claude App,baseline,86,true,1,2
150,marketing-skill.skills.copywriting,copywriting,marketing-skill,marketing-skill/skills/copywriting,99,standard,Claude App,baseline,86,true,1,2
151,marketing-skill.skills.social-content,social-content,marketing-skill,marketing-skill/skills/social-content,99,standard,Claude App,baseline,100,true,0,3
152,product-team.skills.product-analytics,product-analytics,product-team,product-team/skills/product-analytics,99,standard,Claude App,baseline,86,true,1,2
153,ra-qm-team.skills.soc2-compliance,soc2-compliance,ra-qm-team,ra-qm-team/skills/soc2-compliance,99,standard,Claude App,baseline,86,true,3,3
154,business-growth.skills.customer-success-manager,customer-success-manager,business-growth,business-growth/skills/customer-success-manager,98,standard,Claude App,baseline,86,true,3,9
155,business-growth.skills.revenue-operations,revenue-operations,business-growth,business-growth/skills/revenue-operations,98,standard,Claude App,baseline,86,true,3,10
156,business-growth.skills.sales-engineer,sales-engineer,business-growth,business-growth/skills/sales-engineer,98,standard,Claude App,baseline,86,true,3,8
157,engineering.agenthub.skills.run,run,engineering,engineering/agenthub/skills/run,98,standard,Claude App,baseline,100,true,0,0
158,engineering.autoresearch-agent.skills.loop,loop,engineering,engineering/autoresearch-agent/skills/loop,98,standard,Claude App,baseline,100,true,0,0
159,marketing-skill.skills.ab-test-setup,ab-test-setup,marketing-skill,marketing-skill/skills/ab-test-setup,98,standard,Claude App,baseline,86,true,1,2
160,ra-qm-team.skills.regulatory-affairs-head,regulatory-affairs-head,ra-qm-team,ra-qm-team/skills/regulatory-affairs-head,98,standard,Claude App,baseline,86,true,2,4
161,c-level-advisor.skills.cmo-advisor,cmo-advisor,c-level-advisor,c-level-advisor/skills/cmo-advisor,97,standard,Claude App,baseline,86,true,2,3
162,c-level-advisor.skills.cpo-advisor,cpo-advisor,c-level-advisor,c-level-advisor/skills/cpo-advisor,97,standard,Claude App,baseline,86,true,2,3
163,c-level-advisor.skills.cro-advisor,cro-advisor,c-level-advisor,c-level-advisor/skills/cro-advisor,97,standard,Claude App,baseline,86,true,2,3
164,engineering.agenthub.skills.init,init,engineering,engineering/agenthub/skills/init,97,standard,Claude App,baseline,100,true,0,0
165,engineering.agenthub.skills.spawn,spawn,engineering,engineering/agenthub/skills/spawn,97,standard,Claude App,baseline,100,true,0,0
166,engineering.autoresearch-agent.skills.run,run,engineering,engineering/autoresearch-agent/skills/run,97,standard,Claude App,baseline,100,true,0,0
167,engineering.autoresearch-agent.skills.setup,setup,engineering,engineering/autoresearch-agent/skills/setup,97,standard,Claude App,baseline,100,true,0,0
168,engineering.skills.engineering-advanced-skills,engineering-advanced-skills,engineering,engineering/skills/engineering-advanced-skills,97,standard,Claude App,baseline,100,true,0,0
169,product-team.skills.experiment-designer,experiment-designer,product-team,product-team/skills/experiment-designer,97,standard,Claude App,baseline,86,true,1,2
170,product-team.skills.roadmap-communicator,roadmap-communicator,product-team,product-team/skills/roadmap-communicator,97,standard,Claude App,baseline,86,true,1,2
171,c-level-advisor.skills.ceo-advisor,ceo-advisor,c-level-advisor,c-level-advisor/skills/ceo-advisor,96,standard,Claude App,baseline,86,true,2,3
172,c-level-advisor.skills.ciso-advisor,ciso-advisor,c-level-advisor,c-level-advisor/skills/ciso-advisor,96,standard,Claude App,baseline,86,true,2,3
173,engineering.agenthub.skills.board,board,engineering,engineering/agenthub/skills/board,96,standard,Claude App,baseline,100,true,0,0
174,engineering.agenthub.skills.eval,eval,engineering,engineering/agenthub/skills/eval,96,standard,Claude App,baseline,100,true,0,0
175,engineering.agenthub.skills.merge,merge,engineering,engineering/agenthub/skills/merge,96,standard,Claude App,baseline,100,true,0,0
176,engineering.agenthub.skills.status,status,engineering,engineering/agenthub/skills/status,96,standard,Claude App,baseline,100,true,0,0
177,engineering.autoresearch-agent.skills.resume,resume,engineering,engineering/autoresearch-agent/skills/resume,96,standard,Claude App,baseline,100,true,0,0
178,engineering.autoresearch-agent.skills.status,status,engineering,engineering/autoresearch-agent/skills/status,96,standard,Claude App,baseline,100,true,0,0
179,marketing-skill.skills.content-creator,content-creator,marketing-skill,marketing-skill/skills/content-creator,96,standard,Claude App,baseline,100,true,0,5
180,marketing-skill.skills.signup-flow-cro,signup-flow-cro,marketing-skill,marketing-skill/skills/signup-flow-cro,96,standard,Claude App,baseline,86,true,1,1
181,ra-qm-team.skills.risk-management-specialist,risk-management-specialist,ra-qm-team,ra-qm-team/skills/risk-management-specialist,96,standard,Claude App,baseline,86,true,2,3
182,c-level-advisor.executive-mentor.skills.executive-mentor,executive-mentor,c-level-advisor,c-level-advisor/executive-mentor/skills/executive-mentor,95,standard,Claude App,baseline,86,true,2,3
183,c-level-advisor.skills.chro-advisor,chro-advisor,c-level-advisor,c-level-advisor/skills/chro-advisor,95,standard,Claude App,baseline,86,true,2,3
184,c-level-advisor.skills.coo-advisor,coo-advisor,c-level-advisor,c-level-advisor/skills/coo-advisor,95,standard,Claude App,baseline,86,true,2,3
185,finance.skills.financial-analyst,financial-analyst,finance,finance/skills/financial-analyst,95,standard,Claude App,baseline,86,true,4,9
186,marketing-skill.skills.form-cro,form-cro,marketing-skill,marketing-skill/skills/form-cro,95,standard,Claude App,baseline,86,true,1,1
187,marketing-skill.skills.programmatic-seo,programmatic-seo,marketing-skill,marketing-skill/skills/programmatic-seo,95,standard,Claude App,baseline,86,true,1,0
188,product-team.skills.product-discovery,product-discovery,product-team,product-team/skills/product-discovery,95,standard,Claude App,baseline,86,true,1,1
189,ra-qm-team.skills.gdpr-dsgvo-expert,gdpr-dsgvo-expert,ra-qm-team,ra-qm-team/skills/gdpr-dsgvo-expert,95,standard,Claude App,baseline,86,true,3,3
190,ra-qm-team.skills.information-security-manager-iso27001,information-security-manager-iso27001,ra-qm-team,ra-qm-team/skills/information-security-manager-iso27001,95,standard,Claude App,baseline,86,true,2,3
191,marketing-skill.skills.marketing-context,marketing-context,marketing-skill,marketing-skill/skills/marketing-context,94,standard,Claude App,baseline,86,true,1,1
192,marketing-skill.skills.marketing-ops,marketing-ops,marketing-skill,marketing-skill/skills/marketing-ops,94,standard,Claude App,baseline,86,true,1,0
193,marketing-skill.skills.onboarding-cro,onboarding-cro,marketing-skill,marketing-skill/skills/onboarding-cro,94,standard,Claude App,baseline,86,true,1,0
194,marketing-skill.skills.page-cro,page-cro,marketing-skill,marketing-skill/skills/page-cro,94,standard,Claude App,baseline,86,true,1,0
195,marketing-skill.skills.social-media-manager,social-media-manager,marketing-skill,marketing-skill/skills/social-media-manager,94,standard,Claude App,baseline,86,true,1,0
